DateVal,TotalUKCases,NewUKCases,TotalUKDeaths,DailyUKDeaths,EnglandCases,EnglandDeaths,ScotlandCases,ScotlandDeaths,WalesCases,WalesDeaths,NICases,NIDeaths
14/03/2020,1140,343,21,,925,,121,,60,,34,
15/03/2020,1391,330,35,14,1099,,153,,94,,45,
16/03/2020,1543,152,55,20,1196,,171,,124,,52,
18/03/2020,"2,626",676,103,48,"2,182",,227,,149,,68,
25/03/2020,"9,529","1,452",463,360,"7,973",,719,,628,,209,
26/03/2020,"11,658","2,129",578,115,"9,782",,894,,741,,241,
27/03/2020,14543,2885,759,181,12288,679,1059,33,921,34,275,13
28/03/2020,17089,2546,1019,260,14427,926,1245,40,1093,38,324,15
29/03/2020,19522,2433,1228,209,16487,1125,1384,40,1241,48,410,15
30/03/2020,22141,2107,1408,180,18594,1284,1563,41,1451,62,533,21
31/03/2020,25150,3009,1789,381,21008,1651,1993,47,1563,69,586,22