Date,UK,England,Scotland,Wales,Northern Ireland
10/03/2020,6,,,,
11/03/2020,,,,,
12/03/2020,8,,,,
13/03/2020,,,,,
14/03/2020,21,,,,
15/03/2020,35,,,,
16/03/2020,55,,,,
17/03/2020,71,,,,
18/03/2020,103,,,,
19/03/2020,144,,,,
20/03/2020,177,,,,
21/03/2020,233,,,,
22/03/2020,281,,,,
23/03/2020,335,,,,
24/03/2020,422,,,,
25/03/2020,463,,,,
26/03/2020,578,,,,
27/03/2020,759,679,33,34,13
28/03/2020,1019,926,40,38,15
29/03/2020,1228,1125,40,48,15
30/03/2020,1408,1284,41,62,21
31/03/2020,1789,1651,47,69,22
01/04/2020,2352,2166,60,98,28
02/04/2020,2921,2698,76,117,30
03/04/2020,3605,3302,126,141,36
04/04/2020,4313,3939,172,154,48