date,total_cases,total_deaths
22/01/2020,0,0
23/01/2020,0,0
24/01/2020,0,0
25/01/2020,0,0
26/01/2020,0,0
27/01/2020,0,0
28/01/2020,0,0
29/01/2020,0,0
30/01/2020,0,0
31/01/2020,2,0
01/02/2020,2,0
02/02/2020,2,0
03/02/2020,2,0
04/02/2020,2,0
05/02/2020,2,0
06/02/2020,3,0
07/02/2020,3,0
08/02/2020,3,0
09/02/2020,4,0
10/02/2020,8,0
11/02/2020,8,0
12/02/2020,8,0
13/02/2020,9,0
14/02/2020,9,0
15/02/2020,9,0
16/02/2020,9,0
17/02/2020,9,0
18/02/2020,9,0
19/02/2020,9,0
20/02/2020,9,0
21/02/2020,9,0
22/02/2020,9,0
23/02/2020,9,0
24/02/2020,13,0
25/02/2020,13,0
26/02/2020,13,0
27/02/2020,13,0
28/02/2020,19,0
29/02/2020,23,0
01/03/2020,35,0
02/03/2020,40,0
03/03/2020,51,0
04/03/2020,85,0
05/03/2020,114,1
06/03/2020,160,2
07/03/2020,206,2
08/03/2020,271,3
09/03/2020,321,4
10/03/2020,373,6
11/03/2020,456,8
12/03/2020,590,9
13/03/2020,797,11
14/03/2020,"1,061",21
15/03/2020,"1,391",35
16/03/2020,"1,543",56
17/03/2020,"1,950",72
18/03/2020,"2,626",105
19/03/2020,"3,269",138
20/03/2020,"3,983",178
21/03/2020,"5,018",234
22/03/2020,"5,683",282
23/03/2020,"6,650",336
24/03/2020,"8,077",423
25/03/2020,"9,529",436
26/03/2020,"11,658",578
27/03/2020,14579,759