"Area name","Area code","Area type","Reporting date","Daily hospital deaths","Cumulative hospital deaths"
"United Kingdom","K02000001","Country - UK","2020-03-15",14,35
"United Kingdom","K02000001","Country - UK","2020-03-16",20,55
"United Kingdom","K02000001","Country - UK","2020-03-17",16,71
"United Kingdom","K02000001","Country - UK","2020-03-18",32,103
"United Kingdom","K02000001","Country - UK","2020-03-19",41,144
"United Kingdom","K02000001","Country - UK","2020-03-20",33,177
"United Kingdom","K02000001","Country - UK","2020-03-21",56,233
"United Kingdom","K02000001","Country - UK","2020-03-22",48,281
"United Kingdom","K02000001","Country - UK","2020-03-23",54,335
"United Kingdom","K02000001","Country - UK","2020-03-24",87,422
"United Kingdom","K02000001","Country - UK","2020-03-25",41,463
"United Kingdom","K02000001","Country - UK","2020-03-26",115,578
"United Kingdom","K02000001","Country - UK","2020-03-27",181,759
"United Kingdom","K02000001","Country - UK","2020-03-28",260,1019
"United Kingdom","K02000001","Country - UK","2020-03-29",209,1228
"United Kingdom","K02000001","Country - UK","2020-03-30",180,1408
"United Kingdom","K02000001","Country - UK","2020-03-31",381,1789
"United Kingdom","K02000001","Country - UK","2020-04-01",563,2352
"United Kingdom","K02000001","Country - UK","2020-04-02",569,2921
"United Kingdom","K02000001","Country - UK","2020-04-03",684,3605
"United Kingdom","K02000001","Country - UK","2020-04-04",708,4313
"United Kingdom","K02000001","Country - UK","2020-04-05",621,4934
"United Kingdom","K02000001","Country - UK","2020-04-06",439,5373
"United Kingdom","K02000001","Country - UK","2020-04-07",786,6159
"United Kingdom","K02000001","Country - UK","2020-04-08",938,7097
"United Kingdom","K02000001","Country - UK","2020-04-09",881,7978
"United Kingdom","K02000001","Country - UK","2020-04-10",980,8958
"United Kingdom","K02000001","Country - UK","2020-04-11",917,9875
"United Kingdom","K02000001","Country - UK","2020-04-12",737,10612
"United Kingdom","K02000001","Country - UK","2020-04-13",717,11329
"United Kingdom","K02000001","Country - UK","2020-04-14",778,12107
"United Kingdom","K02000001","Country - UK","2020-04-15",761,12868
"United Kingdom","K02000001","Country - UK","2020-04-16",861,13729
"United Kingdom","K02000001","Country - UK","2020-04-17",847,14576
"United Kingdom","K02000001","Country - UK","2020-04-18",888,15464
"United Kingdom","K02000001","Country - UK","2020-04-19",596,16060
"United Kingdom","K02000001","Country - UK","2020-04-20",449,16509
"United Kingdom","K02000001","Country - UK","2020-04-21",823,17337
"United Kingdom","K02000001","Country - UK","2020-04-22",759,18100
"United Kingdom","K02000001","Country - UK","2020-04-23",616,18738
"United Kingdom","K02000001","Country - UK","2020-04-24",684,19506
"United Kingdom","K02000001","Country - UK","2020-04-25",813,20319
"United Kingdom","K02000001","Country - UK","2020-04-26",413,20732
"United Kingdom","K02000001","Country - UK","2020-03-10",,6
"United Kingdom","K02000001","Country - UK","2020-03-11",,6
"United Kingdom","K02000001","Country - UK","2020-03-12",,8
"United Kingdom","K02000001","Country - UK","2020-03-13",,8
"United Kingdom","K02000001","Country - UK","2020-03-14",,21
"England","E92000001","Country","2020-03-28",247,926
"England","E92000001","Country","2020-03-29",199,1125
"England","E92000001","Country","2020-03-30",159,1284
"England","E92000001","Country","2020-03-31",367,1651
"England","E92000001","Country","2020-04-01",515,2166
"England","E92000001","Country","2020-04-02",532,2698
"England","E92000001","Country","2020-04-03",604,3302
"England","E92000001","Country","2020-04-04",637,3939
"England","E92000001","Country","2020-04-05",555,4494
"England","E92000001","Country","2020-04-06",403,4897
"England","E92000001","Country","2020-04-07",758,5655
"England","E92000001","Country","2020-04-08",828,6483
"England","E92000001","Country","2020-04-09",765,7248
"England","E92000001","Country","2020-04-10",866,8114
"England","E92000001","Country","2020-04-11",823,8937
"England","E92000001","Country","2020-04-12",657,9594
"England","E92000001","Country","2020-04-13",667,10261
"England","E92000001","Country","2020-04-14",744,11005
"England","E92000001","Country","2020-04-15",651,11656
"England","E92000001","Country","2020-04-16",739,12395
"England","E92000001","Country","2020-04-17",738,13133
"England","E92000001","Country","2020-04-18",784,13917
"England","E92000001","Country","2020-04-19",482,14399
"England","E92000001","Country","2020-04-20",429,14828
"England","E92000001","Country","2020-04-21",778,15606
"England","E92000001","Country","2020-04-22",665,16271
"England","E92000001","Country","2020-04-23",514,16785
"England","E92000001","Country","2020-04-24",587,17372
"England","E92000001","Country","2020-04-25",711,18083
"England","E92000001","Country","2020-04-26",336,18419
"England","E92000001","Country","2020-03-27",,679
"Scotland","S92000003","Country","2020-03-28",7,40
"Scotland","S92000003","Country","2020-03-29",0,40
"Scotland","S92000003","Country","2020-03-30",1,41
"Scotland","S92000003","Country","2020-03-31",6,47
"Scotland","S92000003","Country","2020-04-01",13,60
"Scotland","S92000003","Country","2020-04-02",16,76
"Scotland","S92000003","Country","2020-04-03",50,126
"Scotland","S92000003","Country","2020-04-04",46,172
"Scotland","S92000003","Country","2020-04-05",46,218
"Scotland","S92000003","Country","2020-04-06",2,220
"Scotland","S92000003","Country","2020-04-07",2,222
"Scotland","S92000003","Country","2020-04-08",74,296
"Scotland","S92000003","Country","2020-04-09",70,366
"Scotland","S92000003","Country","2020-04-10",81,447
"Scotland","S92000003","Country","2020-04-11",48,495
"Scotland","S92000003","Country","2020-04-12",47,542
"Scotland","S92000003","Country","2020-04-13",24,566
"Scotland","S92000003","Country","2020-04-14",9,575
"Scotland","S92000003","Country","2020-04-15",40,615
"Scotland","S92000003","Country","2020-04-16",84,699
"Scotland","S92000003","Country","2020-04-17",80,779
"Scotland","S92000003","Country","2020-04-18",58,837
"Scotland","S92000003","Country","2020-04-19",56,893
"Scotland","S92000003","Country","2020-04-20",10,903
"Scotland","S92000003","Country","2020-04-21",12,915
"Scotland","S92000003","Country","2020-04-22",70,985
"Scotland","S92000003","Country","2020-04-23",77,1062
"Scotland","S92000003","Country","2020-04-24",58,1120
"Scotland","S92000003","Country","2020-04-25",64,1184
"Scotland","S92000003","Country","2020-04-26",47,1231
"Scotland","S92000003","Country","2020-03-27",,33
"Northern Ireland","N92000002","Country","2020-03-28",2,15
"Northern Ireland","N92000002","Country","2020-03-29",0,15
"Northern Ireland","N92000002","Country","2020-03-30",6,21
"Northern Ireland","N92000002","Country","2020-03-31",1,22
"Northern Ireland","N92000002","Country","2020-04-01",6,28
"Northern Ireland","N92000002","Country","2020-04-02",2,30
"Northern Ireland","N92000002","Country","2020-04-03",6,36
"Northern Ireland","N92000002","Country","2020-04-04",12,48
"Northern Ireland","N92000002","Country","2020-04-05",8,56
"Northern Ireland","N92000002","Country","2020-04-06",7,63
"Northern Ireland","N92000002","Country","2020-04-07",7,70
"Northern Ireland","N92000002","Country","2020-04-08",3,73
"Northern Ireland","N92000002","Country","2020-04-09",5,78
"Northern Ireland","N92000002","Country","2020-04-10",4,82
"Northern Ireland","N92000002","Country","2020-04-11",10,92
"Northern Ireland","N92000002","Country","2020-04-12",15,107
"Northern Ireland","N92000002","Country","2020-04-13",11,118
"Northern Ireland","N92000002","Country","2020-04-14",6,124
"Northern Ireland","N92000002","Country","2020-04-15",10,134
"Northern Ireland","N92000002","Country","2020-04-16",6,140
"Northern Ireland","N92000002","Country","2020-04-17",18,158
"Northern Ireland","N92000002","Country","2020-04-18",18,176
"Northern Ireland","N92000002","Country","2020-04-19",17,193
"Northern Ireland","N92000002","Country","2020-04-20",1,194
"Northern Ireland","N92000002","Country","2020-04-21",13,207
"Northern Ireland","N92000002","Country","2020-04-22",13,220
"Northern Ireland","N92000002","Country","2020-04-23",30,250
"Northern Ireland","N92000002","Country","2020-04-24",13,263
"Northern Ireland","N92000002","Country","2020-04-25",15,278
"Northern Ireland","N92000002","Country","2020-04-26",16,294
"Northern Ireland","N92000002","Country","2020-03-27",,13
"Wales","W92000004","Country","2020-03-28",4,38
"Wales","W92000004","Country","2020-03-29",10,48
"Wales","W92000004","Country","2020-03-30",14,62
"Wales","W92000004","Country","2020-03-31",7,69
"Wales","W92000004","Country","2020-04-01",29,98
"Wales","W92000004","Country","2020-04-02",19,117
"Wales","W92000004","Country","2020-04-03",24,141
"Wales","W92000004","Country","2020-04-04",13,154
"Wales","W92000004","Country","2020-04-05",12,166
"Wales","W92000004","Country","2020-04-06",27,193
"Wales","W92000004","Country","2020-04-07",19,212
"Wales","W92000004","Country","2020-04-08",33,245
"Wales","W92000004","Country","2020-04-09",41,286
"Wales","W92000004","Country","2020-04-10",29,315
"Wales","W92000004","Country","2020-04-11",36,351
"Wales","W92000004","Country","2020-04-12",18,369
"Wales","W92000004","Country","2020-04-13",15,384
"Wales","W92000004","Country","2020-04-14",19,403
"Wales","W92000004","Country","2020-04-15",60,463
"Wales","W92000004","Country","2020-04-16",32,495
"Wales","W92000004","Country","2020-04-17",11,506
"Wales","W92000004","Country","2020-04-18",28,534
"Wales","W92000004","Country","2020-04-19",41,575
"Wales","W92000004","Country","2020-04-20",9,584
"Wales","W92000004","Country","2020-04-21",25,609
"Wales","W92000004","Country","2020-04-22",15,624
"Wales","W92000004","Country","2020-04-23",17,641
"Wales","W92000004","Country","2020-04-24",110,751
"Wales","W92000004","Country","2020-04-25",23,774
"Wales","W92000004","Country","2020-04-26",14,788
"Wales","W92000004","Country","2020-03-27",,34
